property_id,property_name,address,city,state,min_rent,max_rent,availability,primary_image_url,image_urls,special,feature_highlights,exterior_amenities,interior_amenities,pet_policy,managed_by,built_year,min_sqft,max_sqft,photo_count,has_complete_core_info
1,One Riva Row,1 Riva Row,The Woodlands,TX,1850,2450,1x1 to 3x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3919CP01.JPG,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3919CP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3919CP03.JPG,Move-in special: $500 off first month,Luxury finishes and modern design,Pool and fitness center,Stainless steel appliances,Pets welcome,Habitat Locators,2015,750,1200,3,true
2,LJ Parkway Apartments,4711 LJ Pkwy,Sugar Land,TX,1650,2100,1x1 to 2x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP01.JPG,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP03.JPG,Free month on 12-month lease,Modern community with great amenities,Tennis courts and pool,Granite countertops,Cats and dogs allowed,Habitat Locators,2018,650,1100,3,true
3,Downtown Lofts,1414 Texas Ave,Houston,TX,1950,2750,Studio to 2x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5084AP01.JPG,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5084AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5084AP03.JPG,$250 concession on select units,Urban living with rooftop access,Rooftop lounge and bar,Exposed brick and high ceilings,Pet-friendly community,Habitat Locators,2012,500,1300,3,true
4,Stafford Commons,11107 W Airport Blvd,Stafford,TX,1450,1850,1x1 to 2x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1534AP01.JPG,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1534AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1534AP03.JPG,Move-in special: First month free,Family-friendly community,Playground and picnic area,Washer/dryer in unit,Small pets welcome,Habitat Locators,2010,600,1050,3,true
5,Yorktown Residences,1900 Yorktown St,Houston,TX,2100,2800,1x1 to 3x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4850AP01.JPG,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4850AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4850AP03.JPG,Luxury move-in package,Premium finishes throughout,Concierge service,Smart home features,Pet-friendly with no breed restrictions,Habitat Locators,2019,800,1400,3,true
6,Smith Tower Apartments,2222 Smith,Houston,TX,2200,3100,Studio to 3x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4230AP01.JPG,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4230AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4230AP03.JPG,$300 off per month for 6 months,High-rise living with city views,Rooftop pool and spa,Floor-to-ceiling windows,Cats and small dogs allowed,Habitat Locators,2014,550,1500,3,true
7,Midtown Lofts,230 W Alabama St,Houston,TX,1800,2400,1x1 to 2x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1019AP01.JPG,,Waived application fees,Contemporary design,Fitness center and yoga studio,Quartz countertops,Pet-friendly,Habitat Locators,2016,700,1150,1,true
8,Fountain View Towers,2626 Fountain View Dr,Houston,TX,2000,2700,1x1 to 2x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4897AP01.JPG,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4897AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4897AP03.JPG,Move-in special: $400 off,Upscale community,Pool and hot tub,Stainless steel appliances,Dogs and cats welcome,Habitat Locators,2017,750,1200,3,true
9,Tranquility Lake Apartments,2800 Tranquility Lake Blvd,Pearland,TX,1550,1950,1x1 to 2x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4163AP01.JPG,,Free month on 12-month lease,Peaceful community setting,Lake views and walking trails,Modern kitchens,Pets welcome,Habitat Locators,2011,650,1100,1,true
10,West Dallas Residences,2900 W Dallas St,Houston,TX,1900,2600,1x1 to 2x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4780AP01.JPG,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4780AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4780AP03.JPG,$250 concession available,Modern living spaces,Fitness center and pool,Granite countertops,Pet-friendly community,Habitat Locators,2013,700,1250,3,true
