target_id,address,city,state,photo_urls
1,"1 Riva Row, The Woodlands, TX 77380",The Woodlands,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3919CP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3919CP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3919CP03.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3919CP04.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3919CP05.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3919CP06.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3919CP07.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/3919CP08.JPG
2,"4711 LJ Pkwy, Sugar Land, TX 77479",Sugar Land,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP03.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP04.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP05.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP06.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP07.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP08.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP09.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP10.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP11.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP12.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP13.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP14.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP15.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP16.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP17.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP18.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP19.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP20.JPG
3,"1414 Texas Ave, Houston, TX 77002",Houston,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5084AP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5084AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5084AP03.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5084AP04.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5084AP05.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5084AP06.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5084AP07.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5084AP08.JPG
4,"11107 W Airport Blvd, Stafford, TX 77477",Stafford,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1534AP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1534AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1534AP03.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1534AP04.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1534AP05.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1534AP06.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1534AP07.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1534AP08.JPG
5,"1900 Yorktown St, Houston, TX 77056",Houston,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4850AP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4850AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4850AP03.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4850AP04.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4850AP05.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4850AP06.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4850AP07.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4850AP08.JPG
6,"2222 Smith, Houston, TX 77002",Houston,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4230AP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4230AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4230AP03.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4230AP04.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4230AP05.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4230AP06.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4230AP07.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4230AP08.JPG
7,"230 W Alabama St, Houston, TX 77006",Houston,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1019AP01.JPG
8,"2626 Fountain View Dr, Houston, TX 77057",Houston,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4897AP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4897AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4897AP03.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4897AP04.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4897AP05.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4897AP06.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4897AP07.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4897AP08.JPG
9,"2800 Tranquility Lake Blvd, Pearland, TX 77584",Pearland,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4163AP01.JPG
10,"2900 W Dallas St, Houston, TX 77019",Houston,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4780AP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4780AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4780AP03.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4780AP04.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4780AP05.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4780AP06.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4780AP07.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4780AP08.JPG
11,"299 W Gray St, Houston, TX 77019",Houston,TX,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1370AP01.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1370AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1370AP03.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1370AP04.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1370AP05.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1370AP06.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1370AP07.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1370AP08.JPG
